txt,Text
elm,"MS FrontPage Theme-Pack"
elt,"Event list text file (Prosa)"
email,"Outlook Express Mail Message"
emb,"Everest Embedded Bank"
emd,"ABT Extended Module"
emf,"Enchanced Metafile graphics"
eml,"Electronic Mail (Email) Message"
emp,"E-Music File Format"
ems,"PC Tools Enhanced Menu System Config"
emu,"Terminal emulation data (BITCOM)"
emx,"Ensuredmail encrypted file/e-mail message"
emz,"Windows Compressed Enhanced Metafile"
enc,"Encoded file - UUENCODEd file (Lotus 1-2-3 - uuexe515.exe)"
end,"Arrow-head definition file (CorelDRAW)"
eng,"Dictionary engine (Sprint)"
ens,"EndNote Styles"
env,"Enveloper macro (WOPR)"
eot,"MS WEFT Embedded OpenType"
epd,"Publication (Express Publisher)"
epf,"Encryption Protection (encrypted file format)"
epi,"Document (Express Publisher)"
epp,"EditPad Pro Project"
epub,"Open Electronic Book"
eqn,"Equation (WordPerfect for Win)"
erd,"Entity Relationship Diagram graphic file (Prosa)"
erm,"Entity Relationship Diagram model file (Prosa)"
err,"Error log"
esp,Ventura
esh,"Extended Shell batch"
esl,"MS Visual FoxPro Distributable Support Library"
ess,"EXP: The Scientific Word Processor Style Sheet"
est,"MS Streets & Trips 2001 Trip"
etf,"Enriched Text"
eth,"Document (Ethnograph 3)"
ets,"eSignal Time and Sales"
etx,"Structure Enhanced (setext) text"
ev,"SonarData Echoview"
evi,"SonarData Echoview"
evl,"SonarData Echoview"
evr,"SonarData Echoview"
evt,"Event log"
evy,"Document (WordPerfect Envoy)"
ewd,"Document (Express Publisher for Windows)"
ewl,"EclipseCrossword Word List"
ex,"Norton Ghost Template"
ex_,"Compressed .EXE File in an Install Archive"
ex3,"Device driver (Harvard Graphics 3.0)"
exc,"Rexx source code file (VM/CMS)"
exd,"Control Information Cache"
exm,"Msdos executable"
exp,"ICQ Saved Chat"
ext,"Extension file (Norton Commander)"
ext2fs,"filesystem driver in the Linux kernel"
exx,"Intermediate file by MsgPut (IBM LinkWay)"
ezf,"Fax (Calculus EZ-Fax)"
ezm,Text
ezp,"Edify Electronic Workforce Backup Utility"
ezz,"eZBackup backup"
f,"Fortran source code"
f_i,"Print IPS"
f01,"Fax (perfectfax)"
f06,"Dos screen text font"
f07,"Dos screen text font"
f08,"Dos screen text font"
f09,"Dos screen text font"
f10,"Dos screen text font"
f11,"Dos screen text font"
f12,"Dos screen text font"
f13,"Dos screen text font"
f14,"Dos screen text font"
f16,"Dos screen text font"
f2,"FLASH BIOS"
f2r,"Linear module (music) (Farandole)"
f3r,"Blocked module (music) (Farandole)"
f4v,"MP4 Video"
f77,"Fortran 77 source code"
f90,Fortran
f96,"Fax (Frecom FAX96)"
fac,"Face graphics"
faq,"Frequently Asked Questions text"
far,"Farandoyle Tracker Music Module"
fav,"MS Outlook Bar Shortcuts"
fax,"Fax (raster graphics) (most Fax programs)"
fbc,"FamilyTree Compressed backup"
fbk,"Navison Financials Backup"
fc,"Spell checking dictionary (Harvard Graphics 2.0)"
fcd,"Virtual CD-ROM"
fcm,"Binary file patch file (forward compression)(jlpak10.zip)"
fcp,"FLAMES Checkpoint Restart file (Ternion)"
fcs,"Flow Cytometry Standard Format"
fcw,"Campaign Cartographer 2"
fd,"Declaration file (MS Fortran)"
fdb,"Art Explosion Portfolio Catalog"
fde,"FLAMES Dataset Export file (Ternion)"
fdf,"Adobe Acrobat Forms document"
fdr,"Final Draft Document"
fdw,"Form (F3 Design and Mapping)"
feb,"Button bar for Figure Editor (WordPerfect for Win)"
fef,Steuer2001
fes,"Fabio Editing Software"
fev,"FLAMES Environment Variable file (Ternion)"
ff,"Outline font description (Agfa Compugraphics)"
ffa,"MS Fast Find"
fff,"Fax (defFax)"
ffl,"MS Fast Find"
ffo,"MS Fast Find"
fft,"Dca/FFT Final Form Text text file (DisplayWrite)"
ffx,"Microsoft Fast Find"
fgd,"Folder Guard Data"
fh3,"Vector graphics (Aldus FreeHand 3.x)"
fh4,"Vector graphics (Aldus FreeHand 4.x)"
fh5,"Freehand 5"
fh6,"Freehand 6"
fh7,"Freehand 7"
fh8,"Macromedia Freehand 8"
fh9,"Macromedia Freehand 9"
fh10,"Macromedia Freehand 10"
fi,"Interface file (MS Fortran)"
fif,"Fractal Image Format"
fig,"REND386/AVRIL Graphic"
fil,"File template (Application Generator)"
fin,"Print-formatted text file (Perfect Writer - Scribble - MINCE)"
fio,"PhotoStyler graphics (filter)"
fit,"Fits graphics"
fix,Patch
fky,"Macro file (FoxPro)"
fla,"Adobe Flash"
flac,"Free Lossless Audio Codec"
flb,"Format library (Papyrus)"
flc,"Animation (Autodesk Animator)"
fld,"Folder (Charisma)"
fle,"Flea program"
flf,"Corel Paradox Form"
fli,"Tex font library (EmTeX)"
flk,"File Locker Encrypted"
flm,"Film Roll (AutoCAD/AutoShade)"
flo,"Micrografx FlowCharter"
flp,"Adobe Flash Project"
flt,"Asymetrix Graphics Filter Support"
flv,"Adobe Flash Video"
flx,"Compiled binary (DataFlex)"
fm,"Spreatsheet (FileMaker Pro)"
fm1,"Spreadsheet (Lotus 1-2-3 release 2.x)"
fmb,"File Manager Button bar (WordPerfect for Win)"
fmf,"Font or icon file (IBM LinkWay)"
fmg,"FreeMarkets Graphics Browser"
fmk,"Makefile (Fortran PowerStation)"
fmo,"Compiled format file (dBASE IV)"
fmp,"FileMaker Pro Document"
fmpp,"FLAMES Model Prototype file for components written in C++ (Ternion)"
fmt,"Format file (dBASE IV - FoxPro - Clipper 5 - dBFast)"
fmv,"Frame Vector Metafile"
fmz,"Form Z Program files (drawing program)"
fn3,"Font file (Harvard Graphics 3.0)"
fnt,"Font file (many)"
fnx,"Inactive font (Exact)"
fo1,"Font file (Borland Turbo C)"
fo2,"Font file (Borland Turbo C)"
fol,"Folder of saved messages (1st Reader)"
fon,"Dialing directory file (Telix)"
for,"Fortran source code"
fot,"Installed Truetype font (Windows Font Installer)"
fp,"Configuration file (FoxPro)"
fp3,"FileMaker Pro 3.0 and earlier files"
fp4,"FileMaker Pro 4.0"
fp5,"FileMaker Pro 5.0 and later files"
fpb,"FLAMES Playback Recorder file (Ternion)"
fpc,"Catalog (FoxPro)"
fpk,"JetForm FormFlow"
fpr,"FLAMES Prototype file (Ternion)"
fpt,"Memo (FoxPro)"
fpw,"Floorplan drawing (FloorPLAN plus for Windows)"
fpx,"FlashPix Bitmap"
fqy,"FLAMES FLARE Command file (Ternion)"
fr3,"Renamed dBASE III+ form file (dBASE IV)"
frc,"FLAMES Recorder Output file; FLARE Input file (Ternion)"
frd,"Files which contain loudspeaker frequency response data"
fre,"Creative Digital Blaster Digital VCR"
frf,"Font (FontMonger)"
frg,"Uncompiled report file (dBASE IV)"
frl,FormFlow
frm,"MySQL Database Format"
fro,"Compiled report file (dBASE IV)"
frp,"Form (PerForm PRO Plus - FormFlow)"
frs,"Screen Font Resource (WordPerfect for Win)"
frt,"Report memo (FoxPro)"
frx,"Report (FoxPro)"
fs,"F# Source Code"
fsc,"FLAMES Scenario file (Ternion)"
fsh,"EA Sports Game Graphic Editor"
fsl,"Form (Paradox for Windows)"
fsm,"Farandoyle Sample format music"
fst,"Linkable program (dBFast)"
fsproj,"Store Firestarter projects used to generate class mapping definitions for Habanero Firestarter"
fsx,"Data (Lotus 1-2-3)"
fsy,"Fileware's Filesync"
ftm,"Font file (Micrografx)"
fts,"Windows Help Full-Text Search Index"
ftw,Family
ftp,"Configuration (FTP Software PC/TCP)"
fus,"Files that store user settings for various FLAMES applications (Ternion)"
fvt,"Interlock Public Computer Utility"
fw,"Database (FrameWork)"
fw2,"Database (Framework II)"
fw3,"Database (Framework III)"
fwp,"FLAMES Window Viewer project file (Ternion)."
fx,"DirectX Effects"
fxd,"Phonebook (FAXit)"
fxm,"WinFax/WinFax MiniViewer Fax"
fxo,"Fax Image Document"
fxp,"Compiled format (FoxPro)"
fxr,"WinFax Received Document"
fxs,"Fax Transmit Format graphics (WinFax)"
g,"Data chart (APPLAUSE)"
g3,"Group 3 Fax document; Group 3 Fax"
g3f,"Zetafax TIFF file (fine resolution)"
g3n,"Zetafax TIFF file (normal resolution)"
g8,"Raw graphics (one byte per pixel) plane three (PicLab)"
gab,"Global Address Book"
gal,"Corel Multimedia Manager Album"
gam,"Saved Game"
gat,Gator
gb,"Pagefox Bitmap Image"
gba,"Game Boy Advanced ROM"
gbc,"Game Boy COlor ROM"
gbd,"Gator Banner"
gbl,"Global definitions (VAXTPU editor)"
gbr,"GIMP Brush"
gbx,Gerber
gc1,"Lisp source code (Golden Common Lisp 1.1)"
gc3,"Lisp source code (Golden Common Lisp 3.1)"
gcd,Graphics
gcf,"Steam GCF"
gdb,"Interbase Database"
gdf,"Dictionary file (GEOS)"
gdr,"Bitmap Font file (SymbianOS)"
ged,"Editor's native file format (Arts & Letters)"
gem,"Vector graphics (GEM - Ventura Publisher)"
gen,"Compiled template (dBASE Application Generator)"
geo,"Geode (Geoworks)"
gfb,"Compressed GIF image created by GIFBLAST (gifblast.exe)"
gft,"Font (NeoPaint)"
gfx,"Genigraphics Graphics Link Presentation"
gg,"Google Desktop Gadget"
gho,"Symantec Ghost Disk image"
ghs,"Lasertank High Scores"
gib,"Chart (Graph-in-the-Box)"
gid,"Windows Help index"
gig,Sound
giw,"Presentation (Graph-in-the-Box for Windows)"
gl,"Animation (GRASP GRAphical System for Presentation)"
glm,"Datafile (Glim)"
gls,"Datafile (Across)"
gly,"Glossary (MS Word)"
gmd,"Game Maker file format"
gmf,"CGM graphics (APPLAUSE)"
gml,"Geography Markup Language"
gmp,"Geomorph tile map (SPX)"
gno,"Genopro Genealogy Document"
gnt,"In MF COBOL a compiled .cbl"
goc,"Goc source code file (Geoworks)"
goh,"Goc header file (Geoworks)"
gp,"Geode parameter file (Geoworks Glue)"
gp3,"CCITT Group 3"
gp4,"Guitar Pro version 4.06"
gpd,"VISUAL EPR Input Data for PARAMS.EXE"
gph,"Graph (Lotus 1-2-3/G)"
gpk,"Omnigo program package"
gpx,"GPS eXchange Format"
gr2,"Screen driver (Windows 3.x)"
gra,"Datafile (SigmaPlot)"
grb,"Ms-DOS Shell Monitor file (MS-DOS 5)"
grd,"Gradebook Power"
grf,"Micrografix Image"
grl,"Matlab Graphic Format"
grp,"Group file (Windows 3.x - Papyrus)"
grx,"File list (GetRight)"
gry,"Raw GREY graphics"
gs1,"Presentation (GraphShow)"
gsd,"Vector graphics (Professional Draw)"
gsm,"Raw GSM 6.10 Audio Stream"
gsp,"Geometer's Sketchpad Material"
gsw,"Worksheet (GraphShow)"
gtp,"Gnome Desktop Theme"
gts,"Genome Software Tempo Alarm Clock"
gup,"Data (PopMail)"
gwi,Groupwise
gwp,"Greetings WorkShop"
gxd,"General CADD Pro"
gxl,"Graphics library (Genus)"
gxt,"GTA2 Game"
gym,"Sega Genesis Music Logged Format"
gz,"Compressed file archive created by GZIP (GNU zip)"
gzip,"Compressed file archive created by GZIP (GNU zip)"
h,Header
h!,"On-line help file (Flambeaux Help! Display Engine)"
h++,"Header file (C++)"
h--,"Header file (Sphinx C--)"
ha,"Compressed file archive created by HA (ha098.zip)"
ham,Image
hap,"Compressed file archive created by HAP (hap303re.zip)"
hbk,"Handbook (Mathcad)"
hbs,"eBerry Transparent Animation - compressed bitmap files"
hcr,"IBM HCD/HCM Production Configuration"
hdf,"Hierarchical Data File graphics (SDSC Image Tools)"
hdl,"Alternate download file listing (Procomm Plus)"
hdp,"HD Photo"
hdr,"InstallShield Setup header"
hds,"Windows Digital Right Management"
hdw,"Vector graphics (Harvard Draw)"
hdx,"Help index (AutoCAD - Zortech C++)"
hed,"HighEdit document"
hex,"Hex dump"
hfi,"Hp Font Info file (GEM)"
hfx,HotFax
hgl,"Hp Graphics Language graphics"
hh,"C++ header"
hhc,"Table of Contents"
hhh,"Precompiled header file (Power C)"
hhk,"Help Workshop Index"
hhp,"Help information for remote users (Procomm Plus)"
hht,"MS Messenger"
hin,"Molecule (HyperChem)"
his,"Insight II Dynamics Trajectory History"
hlb,"Help library (VAX)"
hlp,"Help information"
hlz,"Multi-Edit Packed Help"
hm3,"Help & Manual 3 project Format"
hmm,"Alternate Mail Read option menu (Procomm Plus)"
hnc,"CNC program files Heidenhain (?) dialog"
hof,"Hall Of Fame (game scores)"
hp8,"Ascii text HP Roman8 character set (NewWave Write)"
hpf,"Hp LaserJet fonts (PageMaker)"
hpg,"HPGL plotter file vector graphics (AutoCad - Harvard Graphics)"
hpi,"Font information file (GEM)"
hpj,"Help project (MS Help Compiler)"
hpk,"Compressed file archive created by HPACK (hpack75.zip)"
hpm,"Emm text (HP NewWave)"
hpp,"C++ header file (Zortech C++)"
hrf,"Graphics (Hitachi Raster Format)"
hrm,"Alternate Main menu for limited/normal users (Procomm Plus)"
hs2,"Monochrome image (Postering)"
hsi,"Handmade Software Inc. graphics - almost JPEG (Image Alchemy)"
hst,"Yahoo Messenger History"
hta,"Hypertext application"
htc,"HTML Component (mechanism for implementing Dynamic HTML in script)"
htf,WebBase
hti,WebBase
htr,"Motion Analysis Software Skeletal"
htt,"Hypertext template"
htx,Hypertext
hus,"Husqvarna Designer I Embroidery Machine Format"
hwd,"Presentation (Hollywood)"
hxm,"Alternate Protocol Selection menu for all users (Procomm Plus)"
hxx,"C++ header"
hy1,"Hyphenation algorithms (Ventura Publisher)"
hy2,"Hyphenation algorithms (Ventura Publisher)"
hyc,"Data (WordPerfect)"
hyd,"Hyphenation dictionary (WordPerfect for Win)"
hyp,"Compressed file archive created by HYPER (hyper25.zip)"
hyt,"VFSMOD Project output"
i,"Intermediate file (Borland C++ 4.5)"
iaf,"MS Outlook 97 and 2000 e-mail account settings"
iax,"Bitmap graphics (IBM Image Access eXecutive)"
ibm,"Compressed file archive created by ARCHDOS (Internal IBM only)"
ibd,"Installer Dialog Resource"
ibp,"Isobuster Image"
ibq,"Isobuster Managed Image"
ica,"Bitmap graphics (Image Object Content Architecture)"
icb,"Bitmap graphics"
icc,"Kodak Printer Image"
icd,"IronCAD 2D CAD"
icl,"Icon library (ActivIcons, IconForge, ImageForge, ImageForge PRO)"
icm,"Image Color Matching Profile"
icn,"Icon source code"
ico,"Icon (Windows 3.x)"
ics,"iCalendar Calendar"
id,"Disk identification"
id2,"Windows Live Messenger Emoticon"
idb,"Database Used by Disassembler"
ide,"Project (Borland C++ 4.5)"
idf,"ARTiSAN Real-time Studio ID"
idl,"MS Visual C++ Interface Definition"
idw,"Vector graphics (IntelliDraw)"
idx,"Index (many - FoxPro)"
ies,"Photometric file data"
ifd,"Form (JetForm Design)"
iff,"Interchange File Format bitmap graphics/sound (Amiga)"
ifo,"Saved graphic objects (ImageForge PRO)"
ifp,"Script (KnowledgeMan)"
ifs,"Fractal image compressed file (Yuvpak)"
igr,"Intergraph SmartSketch Drawing"
igs,IGES-Format
igx,"iGrafx Process"
iif,"QuickBooks for Windows Interchange"
ilb,"Data (Scream Tracker)"
ilk,"Outline of program's format (MS ILink incremental linker)"
im30,"Sun Raster image"
im8,"Sun raster graphics"
ima,"Mirage vector graphics (EGO, Chart, Autumn)"
imb,IncrediMail
imc,IncrediMail
imd,"Caseware IDEA (GIS data file)"
imf,"ImageForge/IconForge saved filtered brushes(IconForge, ImageForge, ImageForge PRO)"
img,"Bitmap graphics (Ventura Publisher - GEM Paint)"
imm,"IncrediMail Trash"
imn,"IncrediMail Notifier"
imp,"Spreadsheet (Lotus Improv)"
imq,"Image presentation (ImageQ)"
ims,"Incredimail Graphic"
imv,"Yahoo Instant Messenger IMVironment"
imw,"Imageware Surfacer 3D CAD Surface Geometry"
imz,"Compressed floppy image"
in$,"Installation file (HP NewWave)"
in3,"Input device driver (Harvard Graphics 3.0)"
inb,"Test script (Vermont HighTest)"
inc,"Include file (several programming languages)"
ind,"Index (dBASE IV)"
indd,"Adobe InDesign file format"
inf,"Type 1 LaserJet font information file (soft font installers)"
ini,Initialization
ink,"Pantone reference fills file (CorelDRAW)"
inl,"MS Visual C++ Inline Function"
inp,"GIS Software Text Input"
ins,"Data (WordPerfect)"
int,"Borland Interface Units"
inv,"Rogue Spear Inventory"
inx,"Foxpro Index (Foxbase)"
io,"Compressed file archive created by CPIO"
iob,"3d graphics database in TDDD format"
ioc,"Organizational chart (Instant ORGcharting!)"
ion,"4dos descript.ion file (file descriptions)"
ipa,"iPod/iPhone Application"
ipd,"BlackBerry Backup"
ipg,"Mindjongg Format"
ipj,"Impatica OnCue Project"
ipl,"Pantone Spot reference palette file (CorelDRAW)"
ipp,"Help & Manual Proprietary Image"
ips,"Game Patch"
ipsw,"IPod/IPad/IPhone Software"
ipx,"IPIX AV"
ipz,"ICQ Skin Plus"
iri,"IR Image"
irs,"Resource (WordPerfect)"
isd,"Spelling Checker dictionary (RapidFile)"
ish,"Compressed file archive created by ISH"
isk,Command
iso,"Easy CD Creator Disc Image"
isr,"MS Streets & Trips Route"
iss,"InstallShield Response"
ist,"Digitrakker Instrument File (n-FaCToR)"
isu,"InstallShield Uninstall Script"
isz,"An extension on .ISO that allows compression and splitting of an archive"
it,"Settings (intalk)"
itc2,"iTunes Album Data"
itdb,"iTunes Database"
itf,"Interface file (JPI TopSpeed Pascal)"
ith,"InTether technology secured"
itl,"Music Library"
iv,"OpenInventor files (the successor to Inventor)"
iva,"security video data"
ivt,"MS Infoviewer Title"
iw,"Presentation flowchart (IconAuthor - HSC InterActive)"
iwa,"Text file (IBM Writing Assistant)"
iwd,"Call of Duty Game Data"
iwp,"Text file (Wang)"
izt,"Izl binary token file (IZL)"
j01,"File Extension from ADP Payroll Company"
jad,"Java Application Descriptor extension (for installing MIDlets)"
jar,"Java archive"
jas,Graphics
jav,"Java source code"
jbc,"Jam Byte-Code Hex"
jbd,"Datafile (SigmaScan)"
jbf,"Paint Shop Pro browser"
jbk,"Juno Backup"
jbr,"Jasc Paint Shop Pro Brush"
jbx,"Project file (Project Scheduler 4)"
jdt,"Accelio Capture Classic Filler"
jef,"Janome NH10000 Sewing Machine"
jet,"Fax (Hybrid JetFax)"
jff,"Bitmap graphics (JPEG File Interchange Format)"
jfif,"JPEG image"
jfx,"J2 Fax"
jhtml,"Dynamo Server Page"
jif,"JPEG/JIFF Image"
jmx,JMeter
jnb,"Sigma Plot Workbook"
jnl,"Ingres Journal"
jnlp,"Java Web Start"
jnt,"Windows Journal Note"
job,Job
jor,"Journal file SQL"
jou,"Journal backup (VAX Edt editor)"
jp2,"JPEG 2000"
jpc,"Graphics (Japan PIC)"
jpf,"JPEG 2000"
jps,"Stereo Image"
jpx,"JBuilder Project"
js,"Microsoft Scripting Language ""JScript"" file extension"
jsd,"eFAX Jet Suite Document"
jse,"JScript Encoded Script"
jsf,"Fireworks Batch Script"
jsh,"Henter-Joyce, Inc. Jaws Script Header"
json,"JavaScript Object Notation"
jsp,"Java Server page"
jtf,"Fax (Hayes JT Fax)"
jtp,Jetform
jup,"(New Planet Software) Code Crusader user's project preferences"
jw,"Text document (JustWrite)"
jwl,"Library (JustWrite)"
jwp,"Easy CD Creator Label"
jxr,"JPEG XR"
jzz,"Spreadsheet (Jazz)"
kar,"Midi file with karaoke word track"
kau,"Sassafras KeyAudit Audit"
kb,"Keyboard script (Borland C++ 4.5)"
kbd,"Keyboard mapping (LocoScript - Signature - Procomm Plus)"
kbm,"Keyboard mapping (Reflection 4.0)"
kcl,"Lisp source code (Kyoto Common Lisp)"
kcp,Keychamp
kdc,"Kaspersky Virus Database"
keo,"Older, outdated Print Shop extension"
ket,"Older, outdated Print Shop extension"
kex,"Macro (KEDIT)"
kext,"Mac OS X Kernel Extension"
key,"Datafile (Forecast Pro)"
kgb,"KGB Archive"
kit,"Raven Toolkit"
kix,"KixTart Script"
kma,"Kodak Memory Book"
kml,"Keyhole Markup Language"
kmp,"Korg Trinity KeyMaP"
kmx,"Kaufman Mmail Warrior Mail Folder"
kmz,"Google Earth Map Location"
kos,"MicroType Pro Document"
kp2,"Kruptos Encrypted"
kpl,"Kazaa Playlist"
kpp,"Toolpad (SmartPad)"
kps,"Ibm KIPS bitmap graphics"
kqb,"Knowledge Question Base"
kqe,"W32/Spybot.KQE Worm virus"
kqp,"Konica Quality Picture"
krz,"Kurzweil 2000 Sample"
ksd,"Native Instruments Audio Patch"
ktk,"Kutoka's Mia"
kwi,"Navigation Data"
kwm,"WebMoney Private Key"
kyb,"Keyboard mapping (FTP Software PC/TCP)"
l,"Lex source code"
l01,"ARC Digitized Raster Graphics"
lab,"Datafile (NCSS - SOLO)"
lang,"Skype Language"
lat,"Crossword Express Lattice"
latex,"LaTeX typesetting system"
lay,"Word chart layout (APPLAUSE)"
lbg,"Label generator data (dBASE IV)"
lbl,"Label (dBASE IV - Clipper 5 - dBFast)"
lbm,"Bitmap graphics (DeluxePaint)"
lbo,"Compiled label (dBASE IV)"
lbr,"Compressed file archive created by LU (lue220.arc)"
lbt,"Label memo (FoxPro)"
lbx,"Label (FoxPro)"
lcf,"Linker Control File (Norton Guides compiler)"
lck,"Lockfile (Paradox)"
lcl,"Data (FTP Software PC/TCP)"
lcn,"Lection (WordPerfect)"
lcs,"Datafile (ACT! History Files)"
lcw,"Spreadsheet (Lucid 3-D)"
ld,"Long Distance codes file (Telix)"
ld1,"Overlay file (dBASE)"
ldb,"Data (MS Access)"
ldf,"Library definition file (Geoworks Glue)"
ldif,"LDAP Data Interchange Format"
leg,"Legacy Graphic Format"
les,"Lesson (check *.cbt)"
let,Letter
lev,"Level file (NetHack 3.x)"
lex,"Lexicon (dictionary) (many)"
lfa,LifeForm
lft,"Laser printer font (ChiWriter)"
lg,"Logo procedure definitions (LSRHS Logo)"
lgc,"Program Use Log"
lgo,"Logo for header and footer (SuperFax)"
lgx,Gerber
lha,"Compressed file archive created by LHA/LHARC (lha255b.exe)"
lhw,"Compressed Amiga file archive created by LHWARP"
lib,"Library file (several programming languages)"
lic,"License file (Shareware)"
lid,"Kodak Gallery Album"
lif,"Logical Interchange Format data file (Hewlett-Packard)"
lim,"Compressed file archive created by LIMIT (limit12.zip)"
lin,"Line types (AutoCAD)"
lis,"Listing (VAX)"
lit,"MS Reader eBook"
lix,"Extend Simulation Library"
lj,"Text file for HP LJ II printer"
lko,"MS Outlook Express Linked Object"
ll3,"Laplink III related file (document) (LapLink III)"
lmp,Lump
lmt,"Nokia PC Suite Log"
lnd,"3D Landscape Data"
lng,"Adobe Acrobat Language Plugin"
lnk,"Windows Shortcut"
loc,"MicroSim PCBoard Component Locations Report"
lod,Load
log,Log
lok,"Encrypted and compressed archive format (FileWrangler, SecurDesk!, ZipWrangler)"
lpc,"Printer driver (TEKO)"
lpd,"Helix Nuts and Bolts"
lpf,"Lytec's Direct Electronic Medical Claims ClaimsDirect"
lpi,"Live Pictures"
lpk,"Licensed ActiveX Control for Internet Explorer."
lrf,"Linker response file (MS C/C++)"
lrs,"Language Resource File (WordPerfect for Win)"
lse,"Nokia Audio Manager"
lsf,"Streaming Audio/Video"
lsl,"Lotus Script Library"
lsp,"Lisp source code file (Xlisp)"
lss,"Spreadsheet (Legato)"
lst,"Keyboard macro (1st Reader)"
lt2,"e frontier Poser"
ltm,"Form (Lotus Forms)"
ltr,Letter
lua,"Lua Source Code"
lvl,"Game Level"
lvp,"Lucent Voice Player"
lwa,"LightWorks Archive Material/Scene"
lwd,"Text document (LotusWorks)"
lwo,"NewTek Lightwave Object"
lwp,"IBM Word Pro / Lotus Word Pro 96/97 document"
lwz,"MS Linguistically Enhanced Sound"
lx,"Lexico - files with source code"
lyr,"DataCAD Layer"
lzd,"Difference file for binaries (Ldiff 1.20)"
lzh,"Compressed file archive created by LHA/LHARC (lha255b.exe)"
lzs,"Compressed file archive created by LARC (larc333.zip)"
lzw,"Compressed Amiga file archive created by LHWARP"
lzx,Compressed
m,"Function (program) (Matlab)"
m11,"Text file (MASS11)"
m1v,"MPEG-1 Video"
m2p,"MPEG-2 Program Stream Format"
m2ts,"BDAV MPEG-2"
m2v,"MPEG-2 Video Only"
m3,"Modula 3 source code"
m3d,"3D animation macro"
m3u,"Music Playlist (Winamp)"
m4,"M4 preprocessor file (unix)"
m4a,"MPEG-4 Audio Layer"
m4b,"MPEG-4 Audio Book"
m4p,"MPEG-4 Encoded Audio"
m4r,"iPhone Ringtone"
m4v,"Apple Video"
m_u,"Backup of boot sector, FAT and boot dir (MazeGold)"
ma3,"Macro (Harvard Graphics 3.0)"
mad,"MS Access Module Shortcut"
maff,"Mozilla Archive Format"
mag,"Woody Lynn's MAG graphics format (MPS Magro Paint System)"
mai,"Mail (VAX)"
mak,Makefile
man,"Command manual"
mar,"Mozilla Archive"
mas,"Smartmaster set (Freelance Graphics)"
mat,"Data file (Matlab)"
max,"Max source code"
mb,"Memo field values for database (Paradox)"
mbf,"MS Money Backup"
mbk,"Multiple index file backup (dBASE IV)"
mbx,"Mailbox (Eudora/Zerberus)"
mcc,"Configuration file (Mathcad)"
mcd,"Document (Mathcad)"
mcf,"Mathcad font"
mci,"Mci command script (Media Control Interface)"
mcp,"Application script (Capsule)"
mcr,"DataCAD Keyboard macro"
mcw,"Text file (MacWrite II)"
mcx,Graphic
md,"Compressed file archive created by MDCD (mdcd10.arc)"
md5,"MD5 Checksum"
mda,"Data (MS Access)"
mde,"Microsoft Access MDE database"
mdf,"Accelio Capture Classic (JetForm) Filler"
mdi,"Microsoft Office 2003 imaging format"
mdk,"Keyboard Map"
mdl,"Model (3D Design Plus)"
mdm,"Modem definition (TELIX)"
mdmp,"Microsoft Windows XP Trouble Report"
mdr,"FaxTalk Modem Doctor Modem Report"
mdt,"Data table (MS ILink incremental linker)"
mdx,"Multiple index file (dBASE IV)"
mdz,"MS Access Wizard Template"
me,"Usually ASCII text file READ.ME"
meb,"Macro Editor bottom overflow file (WordPerfect Library)"
med,"Macro Editor delete save (WordPerfect Library)"
mem,"Macro Editor macro (WordPerfect Library)"
meq,"Macro Editor print queue file (WordPerfect Library)"
mer,"Macro Editor resident area (WordPerfect Library) (vakioalue)"
mes,"Macro Editor work space file (WordPerfect Library)"
met,"Document (Omnipage Pro)"
meu,"Menu group (DOS Shell)"
mex,"Mex file (executable command) (Matlab)"
mf,"Metafont text"
mfx,"ImageMAKER Fax Viewer folder"
mgf,"Font (Micrografx)"
mgi,"Modular Gateway Interface"
mgp,"MagicPoint Presentation"
mhp,"MS Home Publishing Project"
mht,"MS MHTML Document"
mia,"MusicIndiaOnline player music"
mib,"Snmp MIB"
mic,"Microsoft Image Composer"
mif,"Maker Interchange Format (FrameMaker)"
mii,"Datafile (MicroStat-II)"
mim,MIME
mio,"Multimedia Interactive Object"
mip,"Paint Shop Pro Multiple Image Print"
mis,"Delta Force Land Warrior Mission"
mix,"Object file (Power C)"
mk,Makefile
mkd,"Pervasive Btrieve files"
mke,"Makefile (MS Windows SDK)"
mki,"Japanese graphics MAKIchan format (MagView 0.5)"
mks,"Data (TACT)"
ml3,"Project (Milestones 3.x)"
mlb,"Macro library file (Symphony)"
mlm,"Novel Groupwise e-mail"
mm,"Text file (MultiMate Advantage II)"
mmc,"Media Catalog"
mmd,Peristudio/PeriProducer
mmf,"Mail message file (MS Mail)"
mml,"Mail Meta Language"
mmm,"Movie (RIFF RMMP format) (MacroMind Director 3.x)"
mmo,"Memo writer file (RapidFile)"
mmp,"Output video format from Bravado board"
mmx,"Command & Conquer Red Alert 2 Map"
mmz,"MusicMatch Theme"
mnd,"Menu source (AutoCAD Menu Compiler)"
mng,"Map (DeLorme Map'n'Go)"
mnt,"Menu memo (FoxPro)"
mnu,"Advanced macro (HP NewWave)"
mnx,"Compiled menu (AutoCAD)"
mny,"Account book (MS Money)"
mob,"Device definition (PEN Windows)"
mod,"Modula-2 source code file (Clarion Modula-2)"
mol,"MDL Molfile"
mon,"Monitor description (ReadMail)"
mpa,"MPEG Audio Stream, Layer I, II or III"
